100 30 2266 94 97 100 58 99 13 97 75 93 50 96 50 98 39 91 53 95 1 9 76 67 96 92 39 85 36 73 93 66 75 69 3 87 26 84 88 75 55 89 64 80 88 86 6 83 43 82 49 88 75 78 39 81 49 39 98 57 81 53 67
101 30 2088 95 100 98 55 99 30 96 52 85 19 97 58 93 91 94 40 4 97 89 25 90 11 56 76 81 74 15 84 71 32 91 89 75 63 88 57 74 77 86 4 83 42 25 5 76 12 12 86 92 12 87 40 78 18 84 49 27 71 57 36
102 30 2212 99 65 98 100 82 99 94 33 76 24 70 91 95 15 91 55 84 7 71 34 89 59 90 1 86 32 81 72 93 15 97 92 69 2 44 37 38 32 96 51 88 50 78 58 18 45 66 62 79 77 92 80 75 18 72 89 31 42 87 95
103 30 2217 99 60 83 94 98 89 96 48 92 88 95 73 93 66 90 43 82 95 81 85 36 3 97 7 89 40 91 10 87 2 94 7 84 73 86 38 67 70 61 90 51 18 48 49 55 24 88 15 85 2 74 68 80 82 5 37 76 54 71 34
104 30 2251 95 37 80 8 99 73 98 54 96 35 86 97 90 64 97 19 93 91 66 82 87 64 88 80 92 78 59 17 89 21 58 39 62 87 73 31 94 7 53 94 82 75 63 40 77 48 79 30 91 70 76 87 61 90 74 55 65 1 47 83
105 30 2313 98 61 99 36 60 21 97 60 90 58 72 68 92 31 95 42 86 27 74 97 81 33 49 63 84 27 87 98 73 45 96 81 93 2 94 95 77 49 83 20 75 75 69 18 79 8 91 10 82 70 89 23 85 16 88 25 44 71 53 1
106 30 2299 95 98 99 4 96 25 98 50 94 63 85 58 89 4 93 50 76 70 97 4 92 11 77 2 86 10 41 14 84 63 91 56 90 43 87 97 83 42 52 92 88 98 67 100 72 31 81 69 69 62 78 11 79 27 80 47 31 57 70 9
107 30 2280 96 47 99 95 98 97 94 15 27 13 89 43 88 44 97 34 93 28 95 38 77 4 83 92 86 64 76 72 92 12 91 93 71 99 67 87 84 23 85 57 87 34 80 50 68 50 90 97 73 83 81 36 58 90 50 8 43 80 82 49
108 30 2202 98 69 72 35 99 19 88 13 47 29 89 35 95 27 94 86 93 3 90 82 92 68 97 45 74 54 96 96 87 1 70 88 91 5 78 46 65 59 86 43 24 3 60 79 68 60 53 73 73 81 54 78 66 19 63 40 79 70 77 99
109 30 2062 97 5 99 46 98 12 94 23 96 55 95 68 93 68 73 97 86 40 92 32 83 47 90 50 38 11 12 21 85 95 53 44 80 3 76 21 84 79 69 68 55 15 88 75 67 45 65 95 81 3 27 35 77 86 10 67 66 32 42 43
