100 10 303 35 281 75 525 82 250 6 161 92 90 93 208 38 141 61 389 94 243 31 356
101 10 240 28 469 7 453 97 189 95 129 90 490 74 124 22 49 1 156 50 58 16 141
102 10 242 47 108 48 136 100 260 25 494 54 207 49 33 27 155 86 376 44 580 4 533
103 10 235 21 129 8 494 29 208 49 578 65 364 18 164 23 218 99 223 75 116 83 534
104 10 252 64 515 60 518 52 487 13 483 90 545 3 519 53 597 47 312 45 177 77 161
105 10 248 94 492 83 263 42 5 92 269 20 126 2 483 13 153 44 200 65 426 41 462
106 10 248 81 11 14 29 58 525 25 386 53 585 79 144 68 94 38 372 37 106 44 462
107 10 206 7 478 5 19 30 548 70 195 26 311 56 406 21 21 86 530 97 10 15 302
108 10 321 95 146 97 362 91 34 85 327 39 128 40 445 6 544 16 35 92 185 81 369
109 10 210 47 388 74 320 60 359 1 457 20 68 10 114 13 106 75 203 40 360 81 278
