100 10 292 96 35 72 100 98 52 45 20 30 6 13 92 61 37 50 18 79 88 40 69
101 10 201 61 80 40 79 71 13 34 59 20 9 16 16 43 87 67 40 38 12 12 19
102 10 299 69 76 11 30 12 12 99 90 51 39 70 2 41 40 66 74 98 86 82 66
103 10 213 53 25 4 71 16 94 34 79 12 3 55 74 84 18 85 34 60 87 24 22
104 10 235 97 93 23 38 32 40 11 82 77 45 47 29 21 50 52 88 43 85 67 7
105 10 263 39 73 80 74 90 17 8 49 3 31 70 52 24 44 89 7 36 51 88 12
106 10 264 47 86 93 67 88 44 55 82 80 21 71 45 20 44 34 36 3 35 38 86
107 10 275 56 89 61 100 29 67 35 32 7 98 78 44 90 45 31 85 99 65 65 71
108 10 295 4 35 67 23 30 100 58 33 86 96 18 42 84 30 93 65 96 79 54 76
109 10 274 73 98 18 69 80 2 19 44 89 48 52 55 70 34 7 28 66 92 75 35
