100 10 247 96 224 7 369 1 305 62 299 90 89 2 112 81 174 79 105 5 36 72 147
101 10 204 46 186 1 275 22 135 5 358 78 195 33 173 18 291 93 118 96 306 17 385
102 10 227 47 370 48 27 43 226 31 200 62 254 46 159 39 399 85 12 33 90 21 163
103 10 183 36 353 87 253 44 332 70 39 37 338 23 135 7 71 14 2 48 244 1 61
104 10 296 50 98 20 40 96 156 52 181 97 372 95 32 77 181 84 120 12 254 10 301
105 10 325 43 132 87 50 54 100 51 354 96 203 14 345 100 233 84 348 41 387 80 137
106 10 193 11 374 69 187 54 4 58 218 57 367 70 400 50 56 1 156 8 51 9 3
107 10 259 5 122 99 104 55 234 3 247 21 82 83 83 51 221 61 155 78 330 63 44
108 10 228 51 314 93 358 66 248 65 316 56 19 20 30 17 176 36 151 30 182 23 212
109 10 219 64 357 18 267 77 330 73 254 11 335 49 161 1 341 71 66 41 135 34 48
